lot,operation,visual_id,test_end_date,tester_id,prodgroup3,maxlidheight,minlidheight
7626F391,2090,76PN852700392,2026-06-30 04:42:26,OIS00014,GNRUCC,3849.41,3780.67
7626F391,2090,76PN852700405,2026-06-30 04:42:26,OIS00014,GNRUCC,3869.29,3803.35
7626F391,2090,76PN852700406,2026-06-30 04:42:26,OIS00014,GNRUCC,3860.81,3793.5
7626F391,2090,76PN852700407,2026-06-30 04:42:26,OIS00014,GNRUCC,3869.35,3800.78
7626F391,2090,76PN852700408,2026-06-30 04:42:26,OIS00014,GNRUCC,3884.32,3807.29
7626F391,2090,76PN852700409,2026-06-30 04:42:26,OIS00014,GNRUCC,3868.77,3768.86
7626F391,2090,76PN852700410,2026-06-30 04:42:26,OIS00014,GNRUCC,3860.28,3766.26
7626F391,2090,76PN852700411,2026-06-30 04:42:26,OIS00014,GNRUCC,3858.66,3775.95
7626F391,2090,76PN852700412,2026-06-30 04:42:26,OIS00014,GNRUCC,3860.89,3778.83
7626F391,2090,76PN852700413,2026-06-30 04:42:26,OIS00014,GNRUCC,3870.76,3770.4
7626F391,2090,76PN852700414,2026-06-30 04:42:26,OIS00014,GNRUCC,3865.47,3800.57
7626F391,2090,76PN852700415,2026-06-30 04:42:26,OIS00014,GNRUCC,3859.82,3787.96
7626F391,2090,76PN852700416,2026-06-30 04:42:26,OIS00014,GNRUCC,3873.2,3803.38
7626F391,2090,76PN852700417,2026-06-30 04:42:26,OIS00014,GNRUCC,3862.41,3798.84
7626F391,2090,76PN852700418,2026-06-30 04:42:26,OIS00014,GNRUCC,3869.73,3796.76
7626F391,2090,76PN852700419,2026-06-30 04:42:26,OIS00014,GNRUCC,3867.21,3785.68
7626F391,2090,76PN852700420,2026-06-30 04:42:26,OIS00014,GNRUCC,3857.8,3811.17
7626F391,2090,76PN852700421,2026-06-30 04:42:26,OIS00014,GNRUCC,3865.14,3793.78
7626F391,2090,76PN852700422,2026-06-30 04:42:26,OIS00014,GNRUCC,3876.4,3803.43
7626F391,2090,76PN852700423,2026-06-30 04:42:26,OIS00014,GNRUCC,3869.73,3797.54
7626F391,2090,76PN852700424,2026-06-30 04:42:26,OIS00014,GNRUCC,3869.45,3785.93
7626F391,2090,76PN852700425,2026-06-30 04:42:26,OIS00014,GNRUCC,3883.51,3783.51
7626F391,2090,76PN852700426,2026-06-30 04:42:26,OIS00014,GNRUCC,3867.36,3801.31
7626F391,2090,76PN852700427,2026-06-30 04:42:26,OIS00014,GNRUCC,3886.51,3777.13
7626F391,2090,76PN852700428,2026-06-30 04:42:26,OIS00014,GNRUCC,3854.31,3792.79
7626F391,2090,76PN852700429,2026-06-30 04:42:26,OIS00014,GNRUCC,3860.13,3811.68
7626F391,2090,76PN852700430,2026-06-30 04:42:26,OIS00014,GNRUCC,3878.13,3786.98
7626F391,2090,76PN852700431,2026-06-30 04:42:26,OIS00014,GNRUCC,3869.97,3801.66
7626F391,2090,76PN852700432,2026-06-30 04:42:26,OIS00014,GNRUCC,3856.78,3816.16
7626F391,2090,76PN852700433,2026-06-30 04:42:26,OIS00014,GNRUCC,3860.37,3791.22
7626F391,2090,76PN852700434,2026-06-30 04:42:26,OIS00014,GNRUCC,3885.94,3794.41
7626F391,2090,76PN852700435,2026-06-30 04:42:26,OIS00014,GNRUCC,3873.71,3816.07
7626F391,2090,76PN852700436,2026-06-30 04:42:26,OIS00014,GNRUCC,3873.65,3807.48
7626F391,2090,76PN852700437,2026-06-30 04:42:26,OIS00014,GNRUCC,3881.02,3791.31
7626F391,2090,76PN852700438,2026-06-30 04:42:26,OIS00014,GNRUCC,3862.68,3817.86
7626F391,2090,76PN852700439,2026-06-30 04:42:26,OIS00014,GNRUCC,3885.45,3797.09
7626F391,2090,76PN852700440,2026-06-30 04:42:26,OIS00014,GNRUCC,3890.06,3786.13
7626F391,2090,76PN852700441,2026-06-30 04:42:26,OIS00014,GNRUCC,3873.84,3814.71
7626F391,2090,76PN852700442,2026-06-30 04:42:26,OIS00014,GNRUCC,3879.8,3796.7
7626F391,2090,76PN852700443,2026-06-30 04:42:26,OIS00014,GNRUCC,3885.73,3785.21
