facility,lot,operation,test_end_date,tester_id,program_name,prodgroup3,visual_id,tray_or_carrier_id,ws_loss_code,carrier_x,carrier_y,lane_number,subplaneanglex,subplaneangley
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300119,11,,5,2,2,94.2472,275.952
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300120,11,,0,0,2,73.8011,15.786
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300121,11,,6,0,2,-55.3267,-78.7301
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300122,11,,3,1,2,-51.57,112.336
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300123,11,,4,0,2,-34.9226,5.6455
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300124,11,,4,1,2,-70.3709,27.6087
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300125,11,,5,0,2,99.6279,-123.111
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300126,11,,1,2,2,-14.1225,276.227
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300127,11,,5,1,2,-3.55408,138.094
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300128,11,,6,2,2,-9.66449,138.454
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300129,11,,2,2,2,85.2367,163.091
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300130,11,,0,1,2,18.4231,103.624
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300131,6,,1,1,2,74.9488,154.097
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300132,9,,3,2,2,52.5226,253.508
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300133,6,,3,1,2,16.8829,100.977
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300134,6,,0,1,2,-2.83902,109.66
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300135,9,,4,2,2,-29.4405,135.361
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300136,6,,2,1,2,51.6884,97.7322
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300137,6,,4,2,2,-20.4088,117.951
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300138,9,,3,0,2,-31.0288,-51.3449
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300139,6,,6,0,2,-15.4085,-123.72
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300140,6,,4,0,2,-11.8147,29.8631
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300141,9,,4,0,2,-27.4542,-89.5707
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300142,6,,6,2,2,-111.216,148.179
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300143,6,,5,2,2,16.6682,288.41
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300144,9,,0,2,2,133.945,157.913
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300145,6,,5,0,2,34.0433,-66.9955
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300146,6,,2,2,2,62.4831,151.149
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300147,9,,2,0,2,-2.86982,-25.4764
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300148,6,,3,2,2,50.5547,226.171
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300149,6,,2,0,2,40.1685,10.1929
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300150,9,,0,0,2,52.3996,43.792
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300151,6,,3,0,2,22.0997,-95.634
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300152,8,,6,1,2,14.1432,-16.8349
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300153,9,,2,2,2,57.6671,167.872
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300154,6,,1,0,2,-51.102,17.589
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300155,8,,5,1,2,-69.1482,84.5928
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300156,9,,1,2,2,-14.4881,90.0156
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300157,6,,1,2,2,-26.9957,195.798
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300158,6,,0,2,2,93.1347,178.881
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300159,9,,1,0,2,33.7967,-5.30758
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300160,6,,0,0,2,19.6421,-33.2237
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300161,4,,2,2,2,95.4095,62.9532
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300162,10,,1,1,1,16.3679,21.0152
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300163,4,,3,2,2,63.0285,147.18
A15,7626G192,1960,2026-07-07 09:53:50,OIS00001,DENVERTON_MS_OIS1,DNV,76SF742300164,4,,1,0,2,-122.297,-41.1755
