lot,operation,visual_id,test_end_date,tester_id,prodgroup3,bincode
7626F391,2090,76PN852700534,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700535,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700536,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700537,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700538,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700539,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700540,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700541,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700542,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700543,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700544,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700545,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700546,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700547,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700548,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700549,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700550,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700551,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700552,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700553,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700554,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700555,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700556,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700557,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700558,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700559,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700560,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700561,2026-06-30 04:42:26,OIS00014,GNRUCC,4
7626F391,2090,76PN852700562,2026-06-30 04:42:26,OIS00014,GNRUCC,4
