facility,lot,operation,test_end_date,tester_id,program_name,prodgroup3,visual_id,tray_or_carrier_id,ws_loss_code,entity,bond_station,carrier_x,carrier_y,lane_number,subplaneanglex,subplaneangley,Entity_BS_X_Y
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500093,55,,DIA003,3,3,1,1,75.2784,52.3976,DIA003_3_3_1
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500094,55,,DIA003,3,1,1,1,-73.8316,-41.2505,DIA003_3_1_1
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500095,52,,DIA003,3,2,0,1,58.0607,14.0185,DIA003_3_2_0
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500096,55,,DIA003,3,0,1,1,43.923,-17.2687,DIA003_3_0_1
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500097,55,,DIA003,3,2,1,1,-114.257,-39.9284,DIA003_3_2_1
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500098,35,,DIA003,4,5,2,2,-168.517,312.267,DIA003_4_5_2
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500099,52,,DIA003,3,1,0,1,-57.6039,23.7191,DIA003_3_1_0
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500100,56,,DIA003,1,6,0,1,-31.3015,-77.8831,DIA003_1_6_0
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500101,64,,DIA003,3,2,0,1,12.0017,60.1085,DIA003_3_2_0
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500102,56,,DIA003,1,5,0,1,-83.5306,-139.869,DIA003_1_5_0
A15,7627F114,1960,2026-07-07 03:17:04,OIS00003,BROADWELLDENS_OIS1,HWL,76SV879500103,56,,DIA003,1,4,2,1,-65.5457,51.4155,DIA003_1_4_2
